VP,method,room,position,error
1,WFS3,beta090,r2,-5.4728
2,WFS3,beta090,r2,-7.1384
3,WFS3,beta090,r2,-7.8687
4,WFS3,beta090,r2,-3.5105
5,WFS3,beta090,r2,-2.5313
6,WFS3,beta090,r2,-3.0099
7,WFS3,beta090,r2,-9.3274
8,WFS3,beta090,r2,-5.5837
9,WFS3,beta090,r2,-1.9833
10,WFS3,beta090,r2,-6.9618
1,WFS3,beta090,r2,-5.2456
2,WFS3,beta090,r2,0.68021
3,WFS3,beta090,r2,-7.3189
4,WFS3,beta090,r2,0.59361
5,WFS3,beta090,r2,-1.8743
6,WFS3,beta090,r2,-0.39333
7,WFS3,beta090,r2,-8.4191
8,WFS3,beta090,r2,-4.9172
9,WFS3,beta090,r2,5.8806
10,WFS3,beta090,r2,-5.5153
1,WFS3,beta070,r3,-3.2604
2,WFS3,beta070,r3,-2.3212
3,WFS3,beta070,r3,-4.3655
4,WFS3,beta070,r3,-8.8941
5,WFS3,beta070,r3,-1.3204
6,WFS3,beta070,r3,-3.986
7,WFS3,beta070,r3,-5.133
8,WFS3,beta070,r3,-4.1801
9,WFS3,beta070,r3,-9.2453
10,WFS3,beta070,r3,-8.9631
1,WFS3,beta070,r3,-1.4367
2,WFS3,beta070,r3,-0.70887
3,WFS3,beta070,r3,-3.1495
4,WFS3,beta070,r3,-3.9901
5,WFS3,beta070,r3,-1.0598
6,WFS3,beta070,r3,-2.8888
7,WFS3,beta070,r3,-5.0445
8,WFS3,beta070,r3,-3.7721
9,WFS3,beta070,r3,-1.7687
10,WFS3,beta070,r3,-8.0938
1,WFS3,beta070,r3,-1.2542
2,WFS3,beta070,r3,-0.013616
3,WFS3,beta070,r3,-2.8772
4,WFS3,beta070,r3,-2.8814
5,WFS3,beta070,r3,0.082631
6,WFS3,beta070,r3,-2.7877
7,WFS3,beta070,r3,-1.6519
8,WFS3,beta070,r3,-2.3541
9,WFS3,beta070,r3,1.2817
10,WFS3,beta070,r3,-7.3213
1,WFS3,beta070,r3,1.1264
2,WFS3,beta070,r3,0.65853
3,WFS3,beta070,r3,-1.5109
4,WFS3,beta070,r3,-1.0845
5,WFS3,beta070,r3,1.615
6,WFS3,beta070,r3,0.29184
7,WFS3,beta070,r3,0.58742
8,WFS3,beta070,r3,-0.52204
9,WFS3,beta070,r3,1.8635
10,WFS3,beta070,r3,-5.2583
1,WFS3,beta070,r3,3.0531
2,WFS3,beta070,r3,0.89202
3,WFS3,beta070,r3,-1.3339
4,WFS3,beta070,r3,-0.65837
5,WFS3,beta070,r3,2.6931
6,WFS3,beta070,r3,2.7893
7,WFS3,beta070,r3,1.0676
8,WFS3,beta070,r3,7.9339
9,WFS3,beta070,r3,8.4969
10,WFS3,beta070,r3,-3.5848
1,WFS3,beta080,r3,-3.3678
2,WFS3,beta080,r3,-6.0076
3,WFS3,beta080,r3,-6.6104
4,WFS3,beta080,r3,-5.9317
5,WFS3,beta080,r3,-3.5089
6,WFS3,beta080,r3,-6.0312
7,WFS3,beta080,r3,-2.2552
8,WFS3,beta080,r3,-4.0301
9,WFS3,beta080,r3,-12.5711
10,WFS3,beta080,r3,-7.0044
1,WFS3,beta080,r3,-2.4335
2,WFS3,beta080,r3,-3.2727
3,WFS3,beta080,r3,-5.4339
4,WFS3,beta080,r3,-3.5143
5,WFS3,beta080,r3,-0.38218
6,WFS3,beta080,r3,-4.8202
7,WFS3,beta080,r3,-1.4186
8,WFS3,beta080,r3,-3.2605
9,WFS3,beta080,r3,-10.0296
10,WFS3,beta080,r3,-6.4384
1,WFS3,beta080,r3,-1.5675
2,WFS3,beta080,r3,-1.9899
3,WFS3,beta080,r3,-2.9975
4,WFS3,beta080,r3,-2.9023
5,WFS3,beta080,r3,0.84717
6,WFS3,beta080,r3,-0.99164
7,WFS3,beta080,r3,-0.84646
8,WFS3,beta080,r3,-1.4049
9,WFS3,beta080,r3,-6.5988
10,WFS3,beta080,r3,-0.2519
1,WFS3,beta080,r3,-0.70565
2,WFS3,beta080,r3,1.1881
3,WFS3,beta080,r3,-2.744
4,WFS3,beta080,r3,-2.357
5,WFS3,beta080,r3,2.139
6,WFS3,beta080,r3,0.81639
7,WFS3,beta080,r3,0.27109
8,WFS3,beta080,r3,-0.58867
9,WFS3,beta080,r3,-4.8038
10,WFS3,beta080,r3,1.1751
1,WFS3,beta080,r3,0.33107
2,WFS3,beta080,r3,2.513
3,WFS3,beta080,r3,-1.5601
4,WFS3,beta080,r3,1.5201
5,WFS3,beta080,r3,4.6545
6,WFS3,beta080,r3,0.89902
7,WFS3,beta080,r3,1.5086
8,WFS3,beta080,r3,2.5676
9,WFS3,beta080,r3,-0.85504
10,WFS3,beta080,r3,2.8933
1,WFS3,beta090,r3,-6.3275
2,WFS3,beta090,r3,-7.14
3,WFS3,beta090,r3,-8.9774
4,WFS3,beta090,r3,-7.7419
5,WFS3,beta090,r3,-1.2387
6,WFS3,beta090,r3,-5.0616
7,WFS3,beta090,r3,-8.103
8,WFS3,beta090,r3,-10.4981
9,WFS3,beta090,r3,-12.9595
10,WFS3,beta090,r3,-7.9713
1,WFS3,beta090,r3,-2.3081
2,WFS3,beta090,r3,-6.3889
3,WFS3,beta090,r3,-5.9366
4,WFS3,beta090,r3,-6.7981
5,WFS3,beta090,r3,-1.1659
6,WFS3,beta090,r3,-3.6437
7,WFS3,beta090,r3,-5.4054
8,WFS3,beta090,r3,-10.1401
9,WFS3,beta090,r3,-10.2282
10,WFS3,beta090,r3,-7.2689
1,WFS3,beta090,r3,-2.1864
2,WFS3,beta090,r3,-1.1507
