VP,method,room,position,error
7,WFS8,beta090,r2,-7.7369
8,WFS8,beta090,r2,-12.5993
9,WFS8,beta090,r2,-11.5388
10,WFS8,beta090,r2,-7.8689
1,WFS8,beta090,r2,-1.6852
2,WFS8,beta090,r2,5.3663
3,WFS8,beta090,r2,-1.408
4,WFS8,beta090,r2,1.9126
5,WFS8,beta090,r2,-2.622
6,WFS8,beta090,r2,3.2384
7,WFS8,beta090,r2,-6.4584
8,WFS8,beta090,r2,-9.7323
9,WFS8,beta090,r2,-5.4369
10,WFS8,beta090,r2,-4.6599
1,WFS8,beta070,r3,-1.7423
2,WFS8,beta070,r3,-6.7553
3,WFS8,beta070,r3,-5.7328
4,WFS8,beta070,r3,-3.2464
5,WFS8,beta070,r3,-0.31851
6,WFS8,beta070,r3,-5.1905
7,WFS8,beta070,r3,-3.6807
8,WFS8,beta070,r3,-5.4459
9,WFS8,beta070,r3,-6.3926
10,WFS8,beta070,r3,-6.1598
1,WFS8,beta070,r3,-0.68904
2,WFS8,beta070,r3,-2.9198
3,WFS8,beta070,r3,-5.082
4,WFS8,beta070,r3,-1.4714
5,WFS8,beta070,r3,-0.10441
6,WFS8,beta070,r3,-4.0241
7,WFS8,beta070,r3,-2.1619
8,WFS8,beta070,r3,-3.8206
9,WFS8,beta070,r3,-4.7504
10,WFS8,beta070,r3,-3.987
1,WFS8,beta070,r3,2.1135
2,WFS8,beta070,r3,2.4952
3,WFS8,beta070,r3,-4.4598
4,WFS8,beta070,r3,0.25812
5,WFS8,beta070,r3,0.59546
6,WFS8,beta070,r3,-2.3046
7,WFS8,beta070,r3,-0.032999
8,WFS8,beta070,r3,-2.8882
9,WFS8,beta070,r3,-2.8956
10,WFS8,beta070,r3,-2.2507
1,WFS8,beta070,r3,3.1553
2,WFS8,beta070,r3,2.9892
3,WFS8,beta070,r3,-3.1899
4,WFS8,beta070,r3,3.2399
5,WFS8,beta070,r3,1.1209
6,WFS8,beta070,r3,-1.0935
7,WFS8,beta070,r3,0.99931
8,WFS8,beta070,r3,-1.5231
9,WFS8,beta070,r3,-0.034374
10,WFS8,beta070,r3,-1.7603
1,WFS8,beta070,r3,3.6993
2,WFS8,beta070,r3,3.3994
3,WFS8,beta070,r3,-2.9888
4,WFS8,beta070,r3,7.6722
5,WFS8,beta070,r3,2.9404
6,WFS8,beta070,r3,4.497
7,WFS8,beta070,r3,1.1789
8,WFS8,beta070,r3,6.3445
9,WFS8,beta070,r3,0.19119
10,WFS8,beta070,r3,1.0565
1,WFS8,beta080,r3,-1.922
2,WFS8,beta080,r3,-5.3839
3,WFS8,beta080,r3,-6.2847
4,WFS8,beta080,r3,-3.9426
5,WFS8,beta080,r3,-2.641
6,WFS8,beta080,r3,-2.0602
7,WFS8,beta080,r3,-7.2621
8,WFS8,beta080,r3,-8.0757
9,WFS8,beta080,r3,-9.8941
10,WFS8,beta080,r3,-13.5605
1,WFS8,beta080,r3,-1.8605
2,WFS8,beta080,r3,-5.2486
3,WFS8,beta080,r3,-3.8124
4,WFS8,beta080,r3,-2.5266
5,WFS8,beta080,r3,-0.61532
6,WFS8,beta080,r3,0.14958
7,WFS8,beta080,r3,-5.3565
8,WFS8,beta080,r3,-6.2458
9,WFS8,beta080,r3,-1.3356
10,WFS8,beta080,r3,-2.879
1,WFS8,beta080,r3,0.046736
2,WFS8,beta080,r3,0.60204
3,WFS8,beta080,r3,-1.9828
4,WFS8,beta080,r3,-2.5036
5,WFS8,beta080,r3,1.9517
6,WFS8,beta080,r3,0.82714
7,WFS8,beta080,r3,-3.1915
8,WFS8,beta080,r3,-3.6378
9,WFS8,beta080,r3,2.3743
10,WFS8,beta080,r3,-1.8302
1,WFS8,beta080,r3,0.76076
2,WFS8,beta080,r3,1.4806
3,WFS8,beta080,r3,-1.5311
4,WFS8,beta080,r3,-0.69504
5,WFS8,beta080,r3,2.9782
6,WFS8,beta080,r3,1.3934
7,WFS8,beta080,r3,-3.0757
8,WFS8,beta080,r3,-3.4413
9,WFS8,beta080,r3,7.3266
10,WFS8,beta080,r3,-0.96678
1,WFS8,beta080,r3,1.2723
2,WFS8,beta080,r3,3.3644
3,WFS8,beta080,r3,-0.90925
4,WFS8,beta080,r3,0.54915
5,WFS8,beta080,r3,4.6065
6,WFS8,beta080,r3,5.2582
7,WFS8,beta080,r3,-1.2009
8,WFS8,beta080,r3,13.6093
9,WFS8,beta080,r3,7.8143
10,WFS8,beta080,r3,1.2004
1,WFS8,beta090,r3,-3.9288
2,WFS8,beta090,r3,-2.7261
3,WFS8,beta090,r3,-11.2271
4,WFS8,beta090,r3,-9.0054
5,WFS8,beta090,r3,-0.58613
6,WFS8,beta090,r3,-3.7262
7,WFS8,beta090,r3,-8.5915
8,WFS8,beta090,r3,-6.0688
9,WFS8,beta090,r3,-10.9363
10,WFS8,beta090,r3,-10.482
1,WFS8,beta090,r3,-3.8991
2,WFS8,beta090,r3,0.19449
3,WFS8,beta090,r3,-9.86
4,WFS8,beta090,r3,-2.8043
5,WFS8,beta090,r3,-0.037983
6,WFS8,beta090,r3,-0.46277
7,WFS8,beta090,r3,-5.8258
8,WFS8,beta090,r3,-4.7376
9,WFS8,beta090,r3,-8.0966
10,WFS8,beta090,r3,-5.1635
1,WFS8,beta090,r3,-3.6939
2,WFS8,beta090,r3,3.3529
3,WFS8,beta090,r3,-8.1679
4,WFS8,beta090,r3,-2.4107
5,WFS8,beta090,r3,0.51784
6,WFS8,beta090,r3,0.46022
7,WFS8,beta090,r3,-2.6722
8,WFS8,beta090,r3,-2.7209
9,WFS8,beta090,r3,-6.5046
10,WFS8,beta090,r3,-4.6941
1,WFS8,beta090,r3,-0.20709
2,WFS8,beta090,r3,5.0508
3,WFS8,beta090,r3,-4.9009
4,WFS8,beta090,r3,-2.0058
5,WFS8,beta090,r3,2.3283
6,WFS8,beta090,r3,2.756
7,WFS8,beta090,r3,-2.4586
8,WFS8,beta090,r3,-2.2877
9,WFS8,beta090,r3,-1.464
10,WFS8,beta090,r3,-4.638
1,WFS8,beta090,r3,0.2631
2,WFS8,beta090,r3,7.4649
3,WFS8,beta090,r3,-3.544
4,WFS8,beta090,r3,-1.7226
5,WFS8,beta090,r3,7.7905
6,WFS8,beta090,r3,4.1777
7,WFS8,beta090,r3,-2.1623
8,WFS8,beta090,r3,-1.2982
9,WFS8,beta090,r3,11.3925
10,WFS8,beta090,r3,-3.7007
1,WFS15,beta070,r1,-2.0653
2,WFS15,beta070,r1,-2.4384
3,WFS15,beta070,r1,-1.2563
4,WFS15,beta070,r1,-3.2059
5,WFS15,beta070,r1,-2.688
6,WFS15,beta070,r1,-7.445
7,WFS15,beta070,r1,-5.353
8,WFS15,beta070,r1,-5.6569
9,WFS15,beta070,r1,-6.0375
10,WFS15,beta070,r1,-8.6007
1,WFS15,beta070,r1,-1.5738
2,WFS15,beta070,r1,-2.0896
3,WFS15,beta070,r1,-0.6153
4,WFS15,beta070,r1,-2.1312
5,WFS15,beta070,r1,1.1218
6,WFS15,beta070,r1,-3.4377
7,WFS15,beta070,r1,-3.9261
8,WFS15,beta070,r1,1.389
9,WFS15,beta070,r1,-3.2759
10,WFS15,beta070,r1,-3.5582
1,WFS15,beta070,r1,-1.3504
2,WFS15,beta070,r1,-1.3727
3,WFS15,beta070,r1,0.29172
4,WFS15,beta070,r1,-1.6618
5,WFS15,beta070,r1,1.2719
6,WFS15,beta070,r1,0.0079464
7,WFS15,beta070,r1,-2.6794
8,WFS15,beta070,r1,1.6855
9,WFS15,beta070,r1,-2.0399
10,WFS15,beta070,r1,-3.4717
1,WFS15,beta070,r1,0.053993
2,WFS15,beta070,r1,1.2704
3,WFS15,beta070,r1,0.60321
4,WFS15,beta070,r1,-1.6604
5,WFS15,beta070,r1,1.8716
6,WFS15,beta070,r1,0.83103
7,WFS15,beta070,r1,-1.1043
8,WFS15,beta070,r1,3.4006
9,WFS15,beta070,r1,3.8801
10,WFS15,beta070,r1,-1.2174
1,WFS15,beta070,r1,2.3308
2,WFS15,beta070,r1,3.7989
3,WFS15,beta070,r1,1.6173
4,WFS15,beta070,r1,-0.11272
5,WFS15,beta070,r1,3.5065
6,WFS15,beta070,r1,3.6417
7,WFS15,beta070,r1,-0.86942
8,WFS15,beta070,r1,5.111
9,WFS15,beta070,r1,4.887
10,WFS15,beta070,r1,1.751
1,WFS15,beta080,r1,-2.2372
2,WFS15,beta080,r1,-1.0373
3,WFS15,beta080,r1,-4.1615
4,WFS15,beta080,r1,-2.982
5,WFS15,beta080,r1,-3.6308
6,WFS15,beta080,r1,-3.8591
7,WFS15,beta080,r1,-4.2228
8,WFS15,beta080,r1,-6.1237
9,WFS15,beta080,r1,-3.9339
10,WFS15,beta080,r1,-9.5392
1,WFS15,beta080,r1,-1.8086
2,WFS15,beta080,r1,0.27911
3,WFS15,beta080,r1,-3.1484
4,WFS15,beta080,r1,0.45136
5,WFS15,beta080,r1,-1.5245
6,WFS15,beta080,r1,2.2443
7,WFS15,beta080,r1,-2.8094
8,WFS15,beta080,r1,-0.35892
9,WFS15,beta080,r1,-2.9431
10,WFS15,beta080,r1,-4.1844
1,WFS15,beta080,r1,-0.95722
2,WFS15,beta080,r1,1.0684
3,WFS15,beta080,r1,-0.69758
4,WFS15,beta080,r1,0.82506
5,WFS15,beta080,r1,-0.37582
6,WFS15,beta080,r1,2.435
7,WFS15,beta080,r1,-2.2122
8,WFS15,beta080,r1,0.21249
9,WFS15,beta080,r1,-1.1
10,WFS15,beta080,r1,1.3015
1,WFS15,beta080,r1,0.68111
2,WFS15,beta080,r1,1.4392
3,WFS15,beta080,r1,0.47483
4,WFS15,beta080,r1,4.6022
5,WFS15,beta080,r1,-0.071254
6,WFS15,beta080,r1,3.6643
7,WFS15,beta080,r1,-2.0709
8,WFS15,beta080,r1,3.9734
9,WFS15,beta080,r1,-0.34875
10,WFS15,beta080,r1,3.1305
1,WFS15,beta080,r1,1.0742
2,WFS15,beta080,r1,4.0681
3,WFS15,beta080,r1,1.54
4,WFS15,beta080,r1,6.3634
5,WFS15,beta080,r1,0.91533
6,WFS15,beta080,r1,3.8393
7,WFS15,beta080,r1,-1.4319
8,WFS15,beta080,r1,9.3866
9,WFS15,beta080,r1,2.7857
10,WFS15,beta080,r1,3.7739
1,WFS15,beta090,r1,-8.741
2,WFS15,beta090,r1,-4.1233
3,WFS15,beta090,r1,-8.9331
4,WFS15,beta090,r1,0.72627
5,WFS15,beta090,r1,-2.7707
6,WFS15,beta090,r1,-2.8433
7,WFS15,beta090,r1,-6.1737
8,WFS15,beta090,r1,-3.3242
9,WFS15,beta090,r1,-3.9413
10,WFS15,beta090,r1,-8.4051
1,WFS15,beta090,r1,-3.9176
2,WFS15,beta090,r1,-4.0784
3,WFS15,beta090,r1,-8.2565
4,WFS15,beta090,r1,0.72689
5,WFS15,beta090,r1,1.2982
6,WFS15,beta090,r1,-1.3793
7,WFS15,beta090,r1,-5.2047
8,WFS15,beta090,r1,0.96117
9,WFS15,beta090,r1,-1.5451
10,WFS15,beta090,r1,-6.5151
1,WFS15,beta090,r1,-1.1696
2,WFS15,beta090,r1,-3.725
3,WFS15,beta090,r1,-5.4695
4,WFS15,beta090,r1,2.264
5,WFS15,beta090,r1,1.7591
6,WFS15,beta090,r1,0.76388
7,WFS15,beta090,r1,-4.7035
8,WFS15,beta090,r1,3.8214
9,WFS15,beta090,r1,0.94251
10,WFS15,beta090,r1,-5.6071
1,WFS15,beta090,r1,-0.16684
2,WFS15,beta090,r1,-1.3322
3,WFS15,beta090,r1,-3.1474
4,WFS15,beta090,r1,5.3473
5,WFS15,beta090,r1,2.2674
6,WFS15,beta090,r1,2.8305
7,WFS15,beta090,r1,-2.3694
8,WFS15,beta090,r1,8.8272
9,WFS15,beta090,r1,9.7477
10,WFS15,beta090,r1,-0.93055
1,WFS15,beta090,r1,0.60526
2,WFS15,beta090,r1,-1.1436
3,WFS15,beta090,r1,-0.71535
4,WFS15,beta090,r1,7.4852
5,WFS15,beta090,r1,3.5781
6,WFS15,beta090,r1,7.2915
7,WFS15,beta090,r1,1.2031
8,WFS15,beta090,r1,13.8496
9,WFS15,beta090,r1,10.4235
10,WFS15,beta090,r1,-0.38094
1,WFS15,beta070,r2,-4.4994
2,WFS15,beta070,r2,-4.9371
3,WFS15,beta070,r2,-7.5165
4,WFS15,beta070,r2,-7.4838
5,WFS15,beta070,r2,-5.4804
6,WFS15,beta070,r2,-2.0722
7,WFS15,beta070,r2,-3.1827
8,WFS15,beta070,r2,-13.6519
9,WFS15,beta070,r2,-10.3934
10,WFS15,beta070,r2,-6.2657
1,WFS15,beta070,r2,0.35186
2,WFS15,beta070,r2,-3.883
3,WFS15,beta070,r2,-5.8738
4,WFS15,beta070,r2,-5.8768
5,WFS15,beta070,r2,-4.9375
6,WFS15,beta070,r2,-1.9038
7,WFS15,beta070,r2,-2.8235
8,WFS15,beta070,r2,-5.0643
9,WFS15,beta070,r2,-3.2384
10,WFS15,beta070,r2,-4.9814
1,WFS15,beta070,r2,0.99813
2,WFS15,beta070,r2,-2.987
3,WFS15,beta070,r2,-4.5884
4,WFS15,beta070,r2,-1.7507
5,WFS15,beta070,r2,-4.749
6,WFS15,beta070,r2,1.2862
7,WFS15,beta070,r2,-1.8969
8,WFS15,beta070,r2,-4.7517
9,WFS15,beta070,r2,-2.0345
10,WFS15,beta070,r2,-2.4097
1,WFS15,beta070,r2,1.7881
2,WFS15,beta070,r2,-2.2799
3,WFS15,beta070,r2,-4.1299
4,WFS15,beta070,r2,-0.99329
5,WFS15,beta070,r2,-1.4326
6,WFS15,beta070,r2,4.7556
7,WFS15,beta070,r2,-0.21328
8,WFS15,beta070,r2,-1.8896
9,WFS15,beta070,r2,-0.038524
10,WFS15,beta070,r2,0.50585
1,WFS15,beta070,r2,2.3712
2,WFS15,beta070,r2,-1.0143
3,WFS15,beta070,r2,-3.706
4,WFS15,beta070,r2,0.55063
5,WFS15,beta070,r2,0.75977
6,WFS15,beta070,r2,5.419
7,WFS15,beta070,r2,1.541
8,WFS15,beta070,r2,-1.0721
9,WFS15,beta070,r2,3.5418
10,WFS15,beta070,r2,1.1172
1,WFS15,beta080,r2,-5.9555
2,WFS15,beta080,r2,-8.117
3,WFS15,beta080,r2,-8.6619
4,WFS15,beta080,r2,-4.9356
5,WFS15,beta080,r2,-3.6796
6,WFS15,beta080,r2,-4.2743
7,WFS15,beta080,r2,-3.7022
8,WFS15,beta080,r2,-4.9103
9,WFS15,beta080,r2,-13.4864
10,WFS15,beta080,r2,-5.3508
1,WFS15,beta080,r2,-5.241
2,WFS15,beta080,r2,-0.92024
3,WFS15,beta080,r2,-7.577
4,WFS15,beta080,r2,-3.853
5,WFS15,beta080,r2,-2.619
6,WFS15,beta080,r2,-3.8592
7,WFS15,beta080,r2,-3.4883
8,WFS15,beta080,r2,-2.4755
9,WFS15,beta080,r2,-8.1248
10,WFS15,beta080,r2,-4.5242
1,WFS15,beta080,r2,-2.1427
2,WFS15,beta080,r2,0.88636
3,WFS15,beta080,r2,-5.1187
4,WFS15,beta080,r2,-1.3108
5,WFS15,beta080,r2,-1.3791
6,WFS15,beta080,r2,-1.365
7,WFS15,beta080,r2,-2.4997
8,WFS15,beta080,r2,-0.36942
9,WFS15,beta080,r2,-8.0967
10,WFS15,beta080,r2,-3.872
1,WFS15,beta080,r2,-0.53261
2,WFS15,beta080,r2,1.6434
3,WFS15,beta080,r2,-4.8241
4,WFS15,beta080,r2,0.49647
5,WFS15,beta080,r2,-0.55104
6,WFS15,beta080,r2,-0.42156
7,WFS15,beta080,r2,-0.037696
8,WFS15,beta080,r2,2.9862
9,WFS15,beta080,r2,-1.449
10,WFS15,beta080,r2,-1.3243
1,WFS15,beta080,r2,1.7177
2,WFS15,beta080,r2,5.8536
3,WFS15,beta080,r2,-3.0815
4,WFS15,beta080,r2,5.0755
5,WFS15,beta080,r2,3.782
6,WFS15,beta080,r2,3.5066
7,WFS15,beta080,r2,2.0954
8,WFS15,beta080,r2,4.8922
9,WFS15,beta080,r2,6.7117
10,WFS15,beta080,r2,0.32401
1,WFS15,beta090,r2,-7.4739
2,WFS15,beta090,r2,-4.1719
3,WFS15,beta090,r2,-17.2976
4,WFS15,beta090,r2,-13.5612
5,WFS15,beta090,r2,-4.1311
6,WFS15,beta090,r2,-6.7129
7,WFS15,beta090,r2,-7.5462
8,WFS15,beta090,r2,-11.4488
9,WFS15,beta090,r2,-3.7459
10,WFS15,beta090,r2,-12.6775
1,WFS15,beta090,r2,-4.9983
2,WFS15,beta090,r2,-2.2409
3,WFS15,beta090,r2,-12.6989
4,WFS15,beta090,r2,-5.9278
5,WFS15,beta090,r2,-2.8323
6,WFS15,beta090,r2,-0.59411
7,WFS15,beta090,r2,-7.0851
8,WFS15,beta090,r2,-6.0432
9,WFS15,beta090,r2,-0.096904
10,WFS15,beta090,r2,-7.6443
1,WFS15,beta090,r2,-4.694
2,WFS15,beta090,r2,2.9398
3,WFS15,beta090,r2,-10.0603
4,WFS15,beta090,r2,-0.56741
5,WFS15,beta090,r2,-1.2468
6,WFS15,beta090,r2,-0.016269
7,WFS15,beta090,r2,-3.2439
8,WFS15,beta090,r2,-2.5801
9,WFS15,beta090,r2,0.84995
10,WFS15,beta090,r2,-6.508
1,WFS15,beta090,r2,-0.56837
2,WFS15,beta090,r2,6.8383
3,WFS15,beta090,r2,-5.564
4,WFS15,beta090,r2,2.9952
5,WFS15,beta090,r2,1.4043
6,WFS15,beta090,r2,1.4031
7,WFS15,beta090,r2,-3.161
8,WFS15,beta090,r2,-1.438
9,WFS15,beta090,r2,5.1711
10,WFS15,beta090,r2,-3.3577
1,WFS15,beta090,r2,0.031902
2,WFS15,beta090,r2,12.0487
3,WFS15,beta090,r2,-4.1302
4,WFS15,beta090,r2,5.7405
5,WFS15,beta090,r2,3.1917
6,WFS15,beta090,r2,5.2022
7,WFS15,beta090,r2,-0.65127
8,WFS15,beta090,r2,4.9206
9,WFS15,beta090,r2,7.2612
10,WFS15,beta090,r2,-0.32148
1,WFS15,beta070,r3,-7.1637
2,WFS15,beta070,r3,-4.6099
3,WFS15,beta070,r3,-5.155
4,WFS15,beta070,r3,-3.57
5,WFS15,beta070,r3,-1.2015
6,WFS15,beta070,r3,-2.7142
7,WFS15,beta070,r3,-3.6657
8,WFS15,beta070,r3,-10.8766
9,WFS15,beta070,r3,-18.0563
10,WFS15,beta070,r3,-3.6042
1,WFS15,beta070,r3,-2.2767
2,WFS15,beta070,r3,0.4066
3,WFS15,beta070,r3,-5.1085
4,WFS15,beta070,r3,-0.83233
5,WFS15,beta070,r3,-0.24464
6,WFS15,beta070,r3,-1.1752
7,WFS15,beta070,r3,-0.65919
8,WFS15,beta070,r3,-3.3495
9,WFS15,beta070,r3,-1.3756
10,WFS15,beta070,r3,-3.2561
1,WFS15,beta070,r3,-2.1948
2,WFS15,beta070,r3,0.80824
3,WFS15,beta070,r3,-3.3645
4,WFS15,beta070,r3,0.60487
5,WFS15,beta070,r3,1.1523
6,WFS15,beta070,r3,-0.36106
7,WFS15,beta070,r3,-0.27706
8,WFS15,beta070,r3,-2.1692
9,WFS15,beta070,r3,3.777
10,WFS15,beta070,r3,-1.6657
1,WFS15,beta070,r3,1.5699
2,WFS15,beta070,r3,1.1561
3,WFS15,beta070,r3,-2.3196
4,WFS15,beta070,r3,1.974
5,WFS15,beta070,r3,1.8937
6,WFS15,beta070,r3,-0.11309
7,WFS15,beta070,r3,1.4178
8,WFS15,beta070,r3,-1.7312
9,WFS15,beta070,r3,8.6013
10,WFS15,beta070,r3,1.6004
1,WFS15,beta070,r3,2.9116
2,WFS15,beta070,r3,1.2126
3,WFS15,beta070,r3,-1.3489
4,WFS15,beta070,r3,2.9068
5,WFS15,beta070,r3,3.9784
6,WFS15,beta070,r3,5.0371
7,WFS15,beta070,r3,1.6014
8,WFS15,beta070,r3,0.45115
9,WFS15,beta070,r3,9.758
10,WFS15,beta070,r3,3.897
1,WFS15,beta080,r3,-3.3202
2,WFS15,beta080,r3,-3.7123
3,WFS15,beta080,r3,-5.0342
4,WFS15,beta080,r3,-6.3906
5,WFS15,beta080,r3,-3.1342
6,WFS15,beta080,r3,-5.9534
7,WFS15,beta080,r3,-6.7085
8,WFS15,beta080,r3,-14.6422
9,WFS15,beta080,r3,-2.1963
10,WFS15,beta080,r3,-8.2873
1,WFS15,beta080,r3,0.094764
2,WFS15,beta080,r3,1.016
3,WFS15,beta080,r3,-3.9893
4,WFS15,beta080,r3,-2.0538
5,WFS15,beta080,r3,-0.9383
6,WFS15,beta080,r3,-3.2783
7,WFS15,beta080,r3,-4.0309
8,WFS15,beta080,r3,-7.544
9,WFS15,beta080,r3,-2.0164
10,WFS15,beta080,r3,-5.2431
1,WFS15,beta080,r3,0.14739
2,WFS15,beta080,r3,2.1086
3,WFS15,beta080,r3,-3.6437
4,WFS15,beta080,r3,-1.1776
5,WFS15,beta080,r3,0.69026
6,WFS15,beta080,r3,0.52797
7,WFS15,beta080,r3,-3.8276
8,WFS15,beta080,r3,-1.383
9,WFS15,beta080,r3,1.5528
10,WFS15,beta080,r3,-4.3911
1,WFS15,beta080,r3,1.0963
2,WFS15,beta080,r3,3.2501
3,WFS15,beta080,r3,-2.3218
4,WFS15,beta080,r3,-0.3319
5,WFS15,beta080,r3,1.004
6,WFS15,beta080,r3,1.4137
7,WFS15,beta080,r3,-1.8627
8,WFS15,beta080,r3,0.20296
9,WFS15,beta080,r3,3.5804
10,WFS15,beta080,r3,-2.9551
1,WFS15,beta080,r3,3.9544
2,WFS15,beta080,r3,3.6778
3,WFS15,beta080,r3,-2.3023
4,WFS15,beta080,r3,3.637
5,WFS15,beta080,r3,2.2522
6,WFS15,beta080,r3,2.5961
7,WFS15,beta080,r3,-0.71694
8,WFS15,beta080,r3,5.974
9,WFS15,beta080,r3,11.5764
10,WFS15,beta080,r3,-1.9886
1,WFS15,beta090,r3,-2.3079
2,WFS15,beta090,r3,-6.1528
3,WFS15,beta090,r3,-5.598
4,WFS15,beta090,r3,-10.0151
5,WFS15,beta090,r3,-3.768
6,WFS15,beta090,r3,-3.3381
7,WFS15,beta090,r3,-5.9769
8,WFS15,beta090,r3,-13.8259
9,WFS15,beta090,r3,-9.6086
10,WFS15,beta090,r3,-5.892
1,WFS15,beta090,r3,-1.2506
2,WFS15,beta090,r3,-2.1746
3,WFS15,beta090,r3,-5.2933
4,WFS15,beta090,r3,-5.265
5,WFS15,beta090,r3,-1.0633
6,WFS15,beta090,r3,-2.8932
7,WFS15,beta090,r3,-4.5067
8,WFS15,beta090,r3,-9.4447
9,WFS15,beta090,r3,-4.7573
10,WFS15,beta090,r3,-5.8818
1,WFS15,beta090,r3,-0.9121
2,WFS15,beta090,r3,-1.4503
3,WFS15,beta090,r3,-5.2742
4,WFS15,beta090,r3,-4.9217
5,WFS15,beta090,r3,-0.52114
6,WFS15,beta090,r3,-1.1731
7,WFS15,beta090,r3,-1.7123
8,WFS15,beta090,r3,-9.3547
9,WFS15,beta090,r3,0.74078
10,WFS15,beta090,r3,-5.0533
1,WFS15,beta090,r3,0.29798
2,WFS15,beta090,r3,0.21912
3,WFS15,beta090,r3,-5.1718
4,WFS15,beta090,r3,-3.4916
5,WFS15,beta090,r3,0.75607
6,WFS15,beta090,r3,-1.1335
7,WFS15,beta090,r3,-1.1179
8,WFS15,beta090,r3,-2.9812
9,WFS15,beta090,r3,2.1943
10,WFS15,beta090,r3,-3.6198
1,WFS15,beta090,r3,2.2293
2,WFS15,beta090,r3,7.0666
3,WFS15,beta090,r3,0.25018
4,WFS15,beta090,r3,-3.4091
5,WFS15,beta090,r3,2.5459
6,WFS15,beta090,r3,3.6357
7,WFS15,beta090,r3,-0.80466
8,WFS15,beta090,r3,-2.0152
9,WFS15,beta090,r3,2.5053
10,WFS15,beta090,r3,-1.4186
